fetch_date,product_code,product_name,category,nav_date,nav,shares,value,pnl_day,cost,unrealized_pnl,return_rate,cash,total_value,principal_total,total_pnl,real_return,fetched_at
采集日期,产品代码,产品名称,分类,净值日期,净值,份额,市值,日变动,成本,浮动盈亏,收益率,在途资金,总资产,累计投入本金,总盈亏,真实收益率,采集时间
2025-12-18,FBAE41126E,民生理财贵竹固收增利周周盈7天持有期26号理财产品E,bank,2025-12-17,1.041638,10863.95,11316.30,0.00,11309.00,7.30,0.06%,0.00,11316.30,11309.00,7.30,0.06%,2025-12-18 22:26:50.364
2025-12-18,000307,易方达黄金ETF联接A,fund,2025-12-18,3.2083,324.79,1042.02,0.00,1007.28,34.74,3.45%,0.00,1042.02,1007.28,34.74,3.45%,2025-12-18 22:26:50.364
2025-12-18,020602,易方达红利低波ETF联接A,fund,2025-12-18,1.1015,586.37,645.89,0.00,659.18,-13.29,-2.02%,0.00,645.89,659.18,-13.29,-2.02%,2025-12-18 22:26:50.364
2025-12-18,110020,易方达沪深300ETF联接A,fund,2025-12-18,1.8284,48.74,89.12,0.00,89.89,-0.77,-0.86%,0.00,89.12,89.89,-0.77,-0.86%,2025-12-18 22:26:50.364
2025-12-18,012080,易方达中证500指数量化增强A,fund,2025-12-18,1.1760,162.35,190.92,0.00,189.72,1.20,0.63%,0.00,190.92,189.72,1.20,0.63%,2025-12-18 22:26:50.364
2025-12-18,161125,易方达标普500指数(QDII-LOF)A,fund,2025-12-17,2.8787,137.10,394.67,0.00,399.56,-4.89,-1.22%,0.00,394.67,399.56,-4.89,-1.22%,2025-12-18 22:26:50.364
2025-12-18,161130,易方达纳斯达克100ETF联接(QDII-LOF)A,fund,2025-12-17,3.8814,156.48,607.36,0.00,629.26,-21.90,-3.48%,0.00,607.36,629.26,-21.90,-3.48%,2025-12-18 22:26:50.364
2025-12-18,013308,易方达恒生科技ETF联接(QDII)A,fund,2025-12-18,1.3312,395.66,526.70,0.00,559.65,-32.95,-5.89%,0.00,526.70,559.65,-32.95,-5.89%,2025-12-18 22:26:50.364
2025-12-18,019172,摩根纳斯达克100指数(QDII)A,fund,2025-12-17,1.5402,461.14,710.25,0.00,729.13,-18.88,-2.59%,0.00,710.25,729.13,-18.88,-2.59%,2025-12-18 22:26:50.364
2025-12-18,017641,摩根标普500指数(QDII)A,fund,2025-12-17,1.5492,520.37,806.16,0.00,819.04,-12.88,-1.57%,0.00,806.16,819.04,-12.88,-1.57%,2025-12-18 22:26:50.364
2025-12-18,019767,景顺长城科创50指数增强A,fund,2025-12-18,1.7888,226.47,405.11,0.00,419.51,-14.40,-3.43%,0.00,405.11,419.51,-14.40,-3.43%,2025-12-18 22:26:50.364
2025-12-18,016452,南方纳斯达克100指数(QDII)A,fund,2025-12-17,2.0098,359.69,722.90,0.00,746.85,-23.95,-3.21%,0.00,722.90,746.85,-23.95,-3.21%,2025-12-18 22:26:50.364
2025-12-18,018043,天弘纳斯达克100指数(QDII)A,fund,2025-12-17,1.7847,589.05,1051.28,0.00,1078.92,-27.64,-2.56%,0.00,1051.28,1078.92,-27.64,-2.56%,2025-12-18 22:26:50.364
2025-12-18,015299,华夏纳斯达克100ETF联接(QDII)A,fund,2025-12-17,1.7737,685.71,1216.24,0.00,1248.40,-32.16,-2.58%,0.00,1216.24,1248.40,-32.16,-2.58%,2025-12-18 22:26:50.364
2025-12-18,163406,兴全合润混合(LOF)A,fund,2025-12-18,2.0209,651.09,1315.79,0.00,1269.29,46.49,3.66%,0.00,1315.79,3046.33,-1730.54,-56.81%,2025-12-18 22:26:50.364
2025-12-19,FBAE41126E,民生理财贵竹固收增利周周盈7天持有期26号理财产品E,bank,2025-12-17,1.041638,10863.95,11316.30,0.00,11309.00,7.30,0.06%,0.00,11316.30,11309.00,7.30,0.06%,2025-12-19 01:00:46.495
2025-12-19,000307,易方达黄金ETF联接A,fund,2025-12-18,3.2083,324.79,1042.02,0.00,1006.56,35.46,3.52%,0.00,1042.02,1007.28,34.74,3.45%,2025-12-19 01:00:46.495
2025-12-19,020602,易方达红利低波ETF联接A,fund,2025-12-18,1.1015,586.37,645.89,0.00,658.36,-12.47,-1.89%,0.00,645.89,659.18,-13.29,-2.02%,2025-12-19 01:00:46.495
2025-12-19,110020,易方达沪深300ETF联接A,fund,2025-12-18,1.8284,48.74,89.12,0.00,89.78,-0.66,-0.74%,0.00,89.12,89.89,-0.77,-0.86%,2025-12-19 01:00:46.495
2025-12-19,012080,易方达中证500指数量化增强A,fund,2025-12-18,1.1760,162.35,190.92,0.00,189.44,1.48,0.78%,0.00,190.92,189.72,1.20,0.63%,2025-12-19 01:00:46.495
2025-12-19,161125,易方达标普500指数(QDII-LOF)A,fund,2025-12-17,2.8787,137.10,394.67,0.00,399.12,-4.45,-1.12%,0.00,394.67,399.56,-4.89,-1.22%,2025-12-19 01:00:46.495
2025-12-19,161130,易方达纳斯达克100ETF联接(QDII-LOF)A,fund,2025-12-17,3.8814,156.48,607.36,0.00,628.52,-21.16,-3.37%,0.00,607.36,629.26,-21.90,-3.48%,2025-12-19 01:00:46.495
2025-12-19,013308,易方达恒生科技ETF联接(QDII)A,fund,2025-12-18,1.3312,395.66,526.70,0.00,559.30,-32.60,-5.83%,0.00,526.70,559.65,-32.95,-5.89%,2025-12-19 01:00:46.495
2025-12-19,019172,摩根纳斯达克100指数(QDII)A,fund,2025-12-17,1.5402,461.14,710.25,0.00,728.26,-18.01,-2.47%,0.00,710.25,729.13,-18.88,-2.59%,2025-12-19 01:00:46.495
2025-12-19,017641,摩根标普500指数(QDII)A,fund,2025-12-17,1.5492,520.37,806.16,0.00,818.08,-11.92,-1.46%,0.00,806.16,819.04,-12.88,-1.57%,2025-12-19 01:00:46.495
2025-12-19,019767,景顺长城科创50指数增强A,fund,2025-12-18,1.7888,226.47,405.11,0.00,419.02,-13.91,-3.32%,0.00,405.11,419.51,-14.40,-3.43%,2025-12-19 01:00:46.495
2025-12-19,016452,南方纳斯达克100指数(QDII)A,fund,2025-12-17,2.0098,359.69,722.90,0.00,745.95,-23.05,-3.09%,0.00,722.90,746.85,-23.95,-3.21%,2025-12-19 01:00:46.495
2025-12-19,018043,天弘纳斯达克100指数(QDII)A,fund,2025-12-17,1.7847,589.05,1051.28,0.00,1077.84,-26.56,-2.46%,0.00,1051.28,1078.92,-27.64,-2.56%,2025-12-19 01:00:46.495
2025-12-19,015299,华夏纳斯达克100ETF联接(QDII)A,fund,2025-12-17,1.7737,685.71,1216.24,0.00,1246.80,-30.56,-2.45%,0.00,1216.24,1248.40,-32.16,-2.58%,2025-12-19 01:00:46.495
2025-12-19,163406,兴全合润混合(LOF)A,fund,2025-12-18,2.0209,651.09,1315.79,0.00,1267.76,48.02,3.79%,0.00,1315.79,3046.33,-1730.54,-56.81%,2025-12-19 01:00:46.495
